distance(Å-1)	fre/THz	gvx(m/s)	gvy(m/s)	gvz(m/s)	gv(m/s)	band
0.1262724	0.8787979228	695.46463	751.6448800000001	160.13681	1036.4771464572807	1.0
0.1269895	0.8855218287	641.03854	690.69608	148.35643000000002	953.9397858434477	1.0
0.1277066	0.8917123032	590.34064	634.97701	137.01009	877.7639997322502	1.0
0.1284237	0.8974106288	543.508	584.46143	126.19103	808.0348292456865	1.0
0.1291408	0.902657949	500.47914999999995	538.89518	115.95143999999999	744.5348420658556	1.0
0.1298579	0.9074935755	461.05679999999995	497.88245	106.31047	686.8494907007381	1.0
0.130575	0.911953945	424.96486000000004	460.95869	97.26328	634.4589756301775	1.0
0.1312921	0.9160721125	391.89314	427.64446	88.78943	586.8079585583993	1.0
0.1320092	0.9198776349	361.52864	397.4804	80.85965	543.3524720865196	1.0
0.1327263	0.9233967067	333.57496000000003	370.04697000000004	73.44077	503.5876891300813	1.0
0.1334434	0.9266524402	307.76293	344.97334	66.49906	467.0618282131651	1.0
0.1341605	0.9296652111	283.85494	321.93908000000005	60.00231	433.3805203270979	1.0
0.1348775	0.9324530192	261.64543	300.67181999999997	53.92093	402.20559552803616	1.0
0.1355946	0.9350318343	240.95907	280.94268	48.228480000000005	373.25065190024475	1.0
0.1363117	0.9374159116	221.64787	262.56089000000003	42.90178	346.2752690567107	1.0
0.1370288	0.939618069	203.58774	245.36836000000002	37.920730000000006	321.0787780765495	1.0
0.1377459	0.9416499272	186.67512	229.23457	33.26806	297.4942895691662	1.0
0.138463	0.9435221112	170.82372999999998	214.05194999999998	28.92897	275.3831319002242	1.0
0.1391801	0.9452444202	155.9617	199.7319	24.89078	254.62999562798646	1.0
0.1398972	0.9468259665	142.02899	186.20134	21.14254	235.13863998898032	1.0
0.1406143	0.9482752897	128.97511	173.39978	17.67474	216.82817883667263	1.0
0.1413314	0.9496004487	116.75727	161.27691	14.47895	199.63001224791702	1.0
0.1420485	0.9508090945	105.33870999999999	149.79052	11.5476	183.48512411662833	1.0
0.1427656	0.9519085279	94.68731	138.90478	8.87366	168.34181424613465	1.0
0.1434826	0.9529057432	84.77439	128.58886	6.45049	154.1538223243647	1.0
0.1441997	0.953807461	75.57377	118.81569999999999	4.27161	140.8787135464226	1.0
0.1449168	0.9546201519	67.0609	109.56108	2.33057	128.4765586249153	1.0
0.1456339	0.9553500513	59.212160000000004	100.80275999999999	0.62075	116.90877488899496	1.0
